,Apparel & Footwear,Bank Charges & Fees,Beauty & Cosmetic Products,Books & Stationery,Broadband & Internet,Cafes & Beverages,Cashback,Dairy&Bakery,Diagnostics & Labs,Donations & Charity,Drinks,Drinks & Liquor,E-Commerce Marketplaces,E-commerce Marketplaces,Electrical Goods & Appliances,Electricity & Energy,Electricity Bill Payment,Electronics & Appliances,Entertainment Store,FASTag & Toll,Fitness & Wellness,Flights,Food Delivery,Fuel,Gaming,General Retail Stores,Google Play Subscription,Groceries & Daily Needs,Groceries&Daily Needs,Grocesries&Daily Needs,Hobbies & Clubs,Hospital Services,Hostel & Stays,Hostel/Mess Fees,Hotels & Stays,Ice Cream Parlour,Insurance-Non Health,Investments,Investments/Financial Services,Jewelry & Accessories,Kirana Shops,Loan Emi-Non Home,Loan-Emi-Non Home,Local Travel Services,Logistics & Courier Services,Logistics & Delivery Services,Maintenance & Repairs,Medical Supplies,Medical Supplies & Equipment,Mobile & DTH Recharges,Mobile Recharge,Mobile Services & Subscriptions,Monastery/Temple Donations,Movies & Evens,Movies & Events,OTT & Subscription,OTT & Subscriptions,Official Fees,Online Course Subscription,Online Learning & EdTech,P2P Income,P2P Transfer,Pharmacies-Medicines,Pharmacy,Pharmacy & Medicines,Public Transport,Received Payment,Refund,Rent & Housing Charges,Rent&Housing Charges,Restaurants & Dining,Ride-Hailing,Salon & Grooming,Salon&Grooming,School/College Fees,Street Food,Subscription Services,Tools & Software,Unknown Merchant,Unknown Service,Unknown merchant,Unknown service,Utility Bill Payment,Utility Bill Payments,Vehicle& Services,Vendor/Supplier Payments,Vendor/Supplier Supplies,Wallet Loads & Top-ups
Apparel & Footwear,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bank Charges & Fees,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beauty & Cosmetic Products,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Books & Stationery,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadband & Internet,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafes & Beverages,0,0,0,0,0,1061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cashback,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dairy&Bakery,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diagnostics & Labs,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Donations & Charity,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
